DELL,Date,Close
close,21/12/2018 16:00:00,14.62
3/3/2015,24/12/2018 13:00:00,11.45
1/5/2019,26/12/2018 16:00:00,11.54
,27/12/2018 16:00:00,11.38
,28/12/2018 16:00:00,11.68
,31/12/2018 16:00:00,12.56
,02/01/2019 16:00:00,12.11
,03/01/2019 16:00:00,11.6
,04/01/2019 16:00:00,11.83
,07/01/2019 16:00:00,11.91
,08/01/2019 16:00:00,12.05
,09/01/2019 16:00:00,12.07
,10/01/2019 16:00:00,11.62
,11/01/2019 16:00:00,11.43
,14/01/2019 16:00:00,11
,15/01/2019 16:00:00,11.06
,16/01/2019 16:00:00,10.96
,17/01/2019 16:00:00,11.24
,18/01/2019 16:00:00,11.14
,22/01/2019 16:00:00,11.33
,23/01/2019 16:00:00,11.47
,24/01/2019 16:00:00,11.56
,25/01/2019 16:00:00,11.8
,28/01/2019 16:00:00,12.06
,29/01/2019 16:00:00,12.04
,30/01/2019 16:00:00,12.34
,31/01/2019 16:00:00,12.49
,01/02/2019 16:00:00,12.76
,04/02/2019 16:00:00,13.07
,05/02/2019 16:00:00,13.13
,06/02/2019 16:00:00,13.09
,07/02/2019 16:00:00,12.97
,08/02/2019 16:00:00,13.24
,11/02/2019 16:00:00,13.37
,12/02/2019 16:00:00,13.78
,13/02/2019 16:00:00,13.87
,14/02/2019 16:00:00,13.98
,15/02/2019 16:00:00,14.14
,19/02/2019 16:00:00,14.15
,20/02/2019 16:00:00,14.28
,21/02/2019 16:00:00,14.28
,22/02/2019 16:00:00,14.44
,25/02/2019 16:00:00,14.56
,26/02/2019 16:00:00,14.58
,27/02/2019 16:00:00,14.46
,28/02/2019 16:00:00,14.35
,01/03/2019 16:00:00,14.56
,04/03/2019 16:00:00,14.22
,05/03/2019 16:00:00,14.17
,06/03/2019 16:00:00,13.81
,07/03/2019 16:00:00,13.66
,08/03/2019 16:00:00,13.46
,11/03/2019 16:00:00,13.92
,12/03/2019 16:00:00,14.06
,13/03/2019 16:00:00,14.12
,14/03/2019 16:00:00,14.7
,15/03/2019 16:00:00,15.48
,18/03/2019 16:00:00,15.55
,19/03/2019 16:00:00,15.54
,20/03/2019 16:00:00,15.33
,21/03/2019 16:00:00,15.6
,22/03/2019 16:00:00,15.31
,25/03/2019 16:00:00,14.73
,26/03/2019 16:00:00,15.14
,27/03/2019 16:00:00,14.79
,28/03/2019 16:00:00,14.63
,29/03/2019 16:00:00,15.09
,01/04/2019 16:00:00,15.53
,02/04/2019 16:00:00,15.75
,03/04/2019 16:00:00,15.83
,04/04/2019 16:00:00,15.51
,05/04/2019 16:00:00,15.99
,08/04/2019 16:00:00,16.06
,09/04/2019 16:00:00,15.87
,10/04/2019 16:00:00,16.27
,11/04/2019 16:00:00,16.41
,12/04/2019 16:00:00,16.32
,15/04/2019 16:00:00,16.42
,16/04/2019 16:00:00,16.14
,17/04/2019 16:00:00,16.13
,18/04/2019 16:00:00,16.16
,22/04/2019 16:00:00,16.26
,23/04/2019 16:00:00,16.71
,24/04/2019 16:00:00,17.03
,25/04/2019 16:00:00,17.22
,26/04/2019 16:00:00,16.8
,29/04/2019 16:00:00,16.85
,30/04/2019 16:00:00,17.33
